#generated by searching xs:restriction and xs:choice in the xsd files manually
#column name	sheet	xsd file	element/attribute			
LIBRARY_STRATEGY	Experiment_ENA	SRA.experiment.xsd	typeLibraryStrategy
LIBRARY_SOURCE	Experiment_ENA	SRA.experiment.xsd	typeLibrarySource
LIBRARY_SELECTION	Experiment_ENA	SRA.experiment.xsd	typeLibrarySelection
#SRA.experiment.xsd	locus_name
LIBRARY_LAYOUT	Experiment_ENA	SRA.experiment.xsd	LIBRARY_LAYOUT
#SRA.experiment.xsd	SampleDescriptorType

filetype	Run	SRA.run.xsd	filetype
#SRA.run.xsd	quality_scoring_system
#SRA.run.xsd	quality_encoding
#SRA.run.xsd	ascii_offset
checksum_method	Run	SRA.run.xsd	checksum_method
#SRA.run.xsd	RUN_TYPE

#SRA.sample.xsd

STUDY_TYPE	study	SRA.study.xsd	existing_study_type

#SRA.common.xsd	READ_CLASS
#SRA.common.xsd	READ_TYPE
#SRA.common.xsd	match_edge
#SRA.common.xsd	SAMPLE_DEMUX_DIRECTIVE
PLATFORM	Experiment_ENA	SRA.common.xsd	PlatformType
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	type454Model
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typeIlluminaModel
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typeHelicosModel
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typeAbiSolidModel
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typeCGModel
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typeBGISEQModel
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typePacBioModel
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typeIontorrentModel
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typeCapillaryModel
INSTRUMENT_MODEL	Experiment_ENA	SRA.common.xsd	typeOxfordNanoporeModel
#SRA.common.xsd	LinkType
#SRA.common.xsd	ENTREZ_LINK
#SRA.common.xsd	SpotDescriptorType
#SRA.common.xsd	READ_SPEC
#SRA.common.xsd	ReferenceAssemblyType
